Time,Registered Users,Enabled Drivers
"Nov 01, 2022","11,279","704"
"Nov 02, 2022","8,592","573"
"Nov 03, 2022","5,153","547"
"Nov 04, 2022","3,595","557"
"Nov 05, 2022","4,841","409"
"Nov 06, 2022","6,401","337"
"Nov 07, 2022","6,345","358"
"Nov 08, 2022","3,198","344"
"Nov 09, 2022","3,225","259"
"Nov 10, 2022","2,877","272"
"Nov 11, 2022","3,959","226"
"Nov 12, 2022","4,151","176"
"Nov 13, 2022","2,595","148"
"Nov 14, 2022","2,198","151"
"Nov 15, 2022","1,974","155"
"Nov 16, 2022","2,052","177"
"Nov 17, 2022","2,276","145"
"Nov 18, 2022","2,391","155"
"Nov 19, 2022","3,217","118"
"Nov 20, 2022","2,324","99"
"Nov 21, 2022","1,453","115"
"Nov 22, 2022","1,312","166"
"Nov 23, 2022","1,484","133"
"Nov 24, 2022","1,946","150"
"Nov 25, 2022","1,465","111"
"Nov 26, 2022","1,670","120"
"Nov 27, 2022","1,497","79"
"Nov 28, 2022","1,081","78"
"Nov 29, 2022","895","115"
"Nov 30, 2022","923","103"
"Dec 01, 2022","1,022","152"
"Dec 02, 2022","1,146","118"
"Dec 03, 2022","1,352","131"
"Dec 04, 2022","1,080","72"
"Dec 05, 2022","886","120"
"Dec 06, 2022","902","163"
"Dec 07, 2022","795","119"
"Dec 08, 2022","841","119"
"Dec 09, 2022","927","95"
"Dec 10, 2022","2,009","69"
"Dec 11, 2022","1,283","54"
"Dec 12, 2022","1,279","74"
"Dec 13, 2022","1,105","89"
"Dec 14, 2022","827","109"
"Dec 15, 2022","797","120"
"Dec 16, 2022","895","128"
"Dec 17, 2022","1,282","109"
"Dec 18, 2022","1,133","85"
"Dec 19, 2022","905","106"
"Dec 20, 2022","1,053","116"
"Dec 21, 2022","856","139"
"Dec 22, 2022","792","108"
"Dec 23, 2022","1,568","181"
"Dec 24, 2022","1,324","117"
"Dec 25, 2022","1,261","99"
"Dec 26, 2022","1,019","135"
"Dec 27, 2022","965","197"
"Dec 28, 2022","1,060","241"
"Dec 29, 2022","973","110"
"Dec 30, 2022","1,069","195"
"Dec 31, 2022","1,289","160"
"Jan 01, 2023","1,201","57"
"Jan 02, 2023","1,139","157"
"Jan 03, 2023","1,181","231"
"Jan 04, 2023","1,686","233"
"Jan 05, 2023","1,314","263"
"Jan 06, 2023","1,224","276"
"Jan 07, 2023","1,537","185"
"Jan 08, 2023","1,469","120"
"Jan 09, 2023","1,268","177"
"Jan 10, 2023","1,446","222"
"Jan 11, 2023","1,468","202"
"Jan 12, 2023","1,301","207"
"Jan 13, 2023","1,223","161"
"Jan 14, 2023","1,230","149"
"Jan 15, 2023","1,051","58"
"Jan 16, 2023","1,209","129"
"Jan 17, 2023","1,337","157"
"Jan 18, 2023","1,697","172"
"Jan 19, 2023","1,273","173"
"Jan 20, 2023","1,346","258"
"Jan 21, 2023","1,438","196"
"Jan 22, 2023","1,246","51"
"Jan 23, 2023","1,422","225"
"Jan 24, 2023","3,079","282"
"Jan 25, 2023","3,844","213"
