Time,Searches,Completed Trips,Drivers' Earnings
"Nov 01, 2022","28,003","462","₹64,161"
"Nov 02, 2022","25,895","777","₹1,11,345"
"Nov 03, 2022","22,035","941","₹1,33,155"
"Nov 04, 2022","17,595","964","₹1,39,437"
"Nov 05, 2022","22,708","1,032","₹1,50,448"
"Nov 06, 2022","24,068","869","₹1,43,437"
"Nov 07, 2022","26,098","1,010","₹1,59,581"
"Nov 08, 2022","16,761","812","₹1,25,336"
"Nov 09, 2022","17,695","577","₹96,888"
"Nov 10, 2022","19,770","724","₹1,80,291"
"Nov 11, 2022","18,773","654","₹99,975"
"Nov 12, 2022","29,695","903","₹1,40,421"
"Nov 13, 2022","18,030","669","₹1,08,599"
"Nov 14, 2022","19,311","738","₹1,24,917"
"Nov 15, 2022","16,359","872","₹1,44,093"
"Nov 16, 2022","15,834","971","₹1,60,706"
"Nov 17, 2022","15,564","828","₹1,35,790"
"Nov 18, 2022","15,070","814","₹1,36,282"
"Nov 19, 2022","21,807","1,119","₹1,85,838"
"Nov 20, 2022","16,579","821","₹1,42,748"
"Nov 21, 2022","14,063","910","₹1,51,458"
"Nov 22, 2022","12,029","880","₹1,47,375"
"Nov 23, 2022","12,522","937","₹1,58,048"
"Nov 24, 2022","17,278","1,023","₹1,65,565"
"Nov 25, 2022","12,361","1,081","₹1,76,757"
"Nov 26, 2022","13,985","1,060","₹1,72,608"
"Nov 27, 2022","12,603","776","₹1,42,631"
"Nov 28, 2022","11,201","1,086","₹1,88,754"
"Nov 29, 2022","9,967","1,084","₹1,79,224"
"Nov 30, 2022","10,797","1,052","₹1,80,651"
"Dec 01, 2022","7,831","883","₹1,43,901"
"Dec 02, 2022","11,187","1,154","₹1,88,399"
"Dec 03, 2022","13,818","1,194","₹5,08,198"
"Dec 04, 2022","9,577","783","₹1,35,238"
"Dec 05, 2022","9,013","1,008","₹1,77,591"
"Dec 06, 2022","9,096","1,117","₹1,89,432"
"Dec 07, 2022","8,641","1,101","₹1,87,220"
"Dec 08, 2022","7,979","1,145","₹1,96,705"
"Dec 09, 2022","10,285","1,124","₹1,93,988"
"Dec 10, 2022","23,967","1,816","₹2,96,977"
"Dec 11, 2022","12,533","1,176","₹1,98,583"
"Dec 12, 2022","18,001","1,454","₹2,54,218"
"Dec 13, 2022","15,525","1,482","₹2,50,239"
"Dec 14, 2022","10,597","1,385","₹2,39,521"
"Dec 15, 2022","10,458","1,420","₹2,45,800"
"Dec 16, 2022","10,756","1,325","₹2,30,940"
"Dec 17, 2022","13,839","1,556","₹2,75,795"
"Dec 18, 2022","10,242","1,181","₹2,11,372"
"Dec 19, 2022","9,203","1,563","₹2,83,537"
"Dec 20, 2022","8,883","1,525","₹2,64,137"
"Dec 21, 2022","8,717","1,521","₹2,65,773"
"Dec 22, 2022","8,011","1,550","₹2,75,713"
"Dec 23, 2022","9,804","1,346","₹2,29,725"
"Dec 24, 2022","9,642","1,653","₹2,74,621"
"Dec 25, 2022","10,704","1,410","₹2,45,244"
"Dec 26, 2022","8,105","1,747","₹2,85,360"
"Dec 27, 2022","6,860","1,595","₹2,66,400"
"Dec 28, 2022","6,595","1,626","₹2,74,596"
"Dec 29, 2022","7,477","1,532","₹2,54,889"
"Dec 30, 2022","8,255","1,595","₹2,62,616"
"Dec 31, 2022","9,806","1,788","₹3,06,909"
